clan_tag,clan_name,clan_type,clan_description,clan_location,isFamilyFriendly,clan_badge_url,clan_level,clan_points,clan_builder_base_points,clan_versus_points,required_trophies,war_frequency,war_win_streak,war_wins,war_ties,war_losses,clan_war_league,num_members,required_builder_base_trophies,required_versus_trophies,required_townhall_level,clan_capital_hall_level,clan_capital_points,capital_league,mean_member_level,mean_member_trophies
#UQVQRJQ0,KOJIS' CLAN,closed,STRATEGY IS MUST...RESPECT THE OTHERS...FORGIVE AND FORGET,International,True,https://api-assets.clashofclans.com/badges/200/NUGY9HFXNrucid3nwXmsIl29XfKLFzT488B9dR6cGxY.png,6,6887,5213,5213,800,moreThanOncePerWeek,1,93,0,31,Unranked,11,1000,1000,1,1,0,Unranked,83,1254
#2QC9Y0CQU,uye,open,,Indonesia,True,https://api-assets.clashofclans.com/badges/200/DcHcgP14dK0OPmf_G77JtangGL7_5u6oAOWUbbXP8Yw.png,1,876,1019,1019,0,unknown,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,90,1752
#202CJRP2U,Uprising rivals,open,"💥official uprising rivals clan💥we bring 10% luck,20% skill,15% concentrated power of will,5% pleasure and 50% pain that's the 100% reason to remember our name.       ✴RULES✴:-1) no rules(just enjoy coc)",Indonesia,True,https://api-assets.clashofclans.com/badges/200/aIqH8JUUM0lDBRDcnw0wHe1YqOLvaFWVXPhlo7Q6R_Y.png,1,732,670,670,0,always,1,1,0,0,Unranked,2,0,0,1,0,0,Unranked,30,733
#2Y89RRGLY,2inchersonly,open,"Whom is not packing the meat, Shall be packing the heat ⚔️🔪🔫🩸(everyone is clan elder) (attack in clan war or get kicked)",International,True,https://api-assets.clashofclans.com/badges/200/dvYgquZbLJv3rKoiYbUkxjFuDAj7wTk52h6St5ijNMs.png,2,1156,457,457,600,always,0,7,0,11,Bronze League I,2,0,0,1,1,0,Unranked,61,1156
#99PU9QPY,aymil,open,regla1=no empezar la guerra sin mi permiso regla 2= donar loque se pida no tienen que donar si no tienen elexir no se preocupen regla 3= tener sus casas adentro de la aldea en la guerra porfavor regla. 4= invitar siempre ok regla 5 disfrutar,International,True,https://api-assets.clashofclans.com/badges/200/JOnEdb8kMGHdd6Rv2FVNSCSMM3CCxdzXuJw8rZid4ZE.png,2,674,399,399,0,always,0,3,0,11,Unranked,2,0,0,1,0,0,Unranked,23,674
#282RGR09C,1worey200,open,,Pakistan,True,https://api-assets.clashofclans.com/badges/200/DtHg1COA9EvnGIOc12fU1bgy_p9W6H8huxRZGfUHr8o.png,2,611,692,692,0,unknown,0,7,1,21,Bronze League II,2,0,0,1,0,0,Unranked,22,611
#2G88QRQV2,leuke vrouwen,open,hoi,,True,https://api-assets.clashofclans.com/badges/200/DcHcgP14dK0OPmf_G77JtangGL7_5u6oAOWUbbXP8Yw.png,1,383,309,309,0,unknown,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,28,766
#2Y9Q9GJP9,gryffindor,open,gelirseniz büyüyebiliriz.,Türkiye,True,https://api-assets.clashofclans.com/badges/200/Xhyh8JxxF7SKp-ZjcAv1FXtabpoctjE_M-3hJ2eMv9A.png,1,479,138,138,0,unknown,0,0,0,0,Unranked,2,0,0,1,0,0,Unranked,15,479
#2QY9RV8GR,DBlocks,inviteOnly,we them boys,Bahamas,True,https://api-assets.clashofclans.com/badges/200/BIZ4D9ihzimhDQ4y8GKb0VbXvJKDiLVIJ_MyIQxDVLA.png,1,1028,1270,1270,0,unknown,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,141,2056
#8PC0L2CG,GSA FAMILLY,open,,International,True,https://api-assets.clashofclans.com/badges/200/50ls8JTDSmO9ewJfq_s8C_-28_wQwptoODkBt7zIVC4.png,1,289,0,0,0,never,0,0,0,0,Unranked,1,0,0,1,0,0,Unranked,14,578
